Name,WebsiteKey,Email
Blockchain Club,blockchain-club,bub@bu.edu / sjc@bu.edu
Board Games Club,board-games-club,bubgc@bu.edu
BostonHacks,boston-hacks,contacts@bostonhacks.io
Brazilian Association,brazilian-association,
Breathe BU,breathebu,BostonUBreathe@gmail.com
BridgeBU,bridgebu,bridgebostonu@gmail.com
Brothers United,brothersunited,brotheru@bu.edu
Bug Club,bugclub,lindens@bu.edu
Burmese Student Association,bubursa,bostonubursa@gmail.com
Business & Technology Club,business-technology-club,biztech@bu.edu
Business Law Club,bubusinesslawclub,bostonubizlaw@gmail.com
Camp Kesem,kesembu,bostonu@kesem.org
Campus Activities Board,cab,cabbu@bu.edu
Campus Closet BU,bu-closet,bostonucloset@gmail.com
Cape Verdean Student Association,cvsa,CVstudentsassoc@gmail.com
Center for Gender Sexuality and Activism,center-for-gender-sexuality-and-activism,cgsa@bu.edu
Chemia,chemia,buchemia@bu.edu
Chess Club,chess-club,chessbu@bu.edu
Chinese Students Association,chinese-students-association,bostonuniversitycsa@gmail.com
Circle K International,circle-k-international,bucirclekinternational@gmail.com
CleanTech Club,bucleantech,clntech@bu.edu
Climbing Club,climbingclub,sylvie@bu.edu
Club Colombia,clubcolombiabu,clubcol@bu.edu
Community Gardens at BU,bugardens,warrengarden.bu@gmail.com
Computer Science Club,cscic,bucsclub@bu.edu
Conscious Educators of Color,cec,
Consulting Group,consulting-group,bucg@bu.edu
Cybersecurity Association,cybersecurity-assn,bucys@bu.edu
Data Science Association,budsa,dsabu@bu.edu
Deaf Studies Club,deaf-studies-club,budsc@bu.edu
Debate Society,debate-society,boston.university.debate@gmail.com
Delta Kappa Alpha,delta-kappa-alpha,secretary@bu.dka.org
Delta Phi Epsilon International,delta-phi-epsilon-international,dpe@bu.edu
Delta Sigma Pi,delta-sigma-pi,dspgamma@gmail.com
Diversity in Law Association,diversity-in-law-association,budiversityinlawassociation@gmail.com
Dodgeball Club,dodgeballclub,iherrick@bu.edu
Dominican Student Association at BU,dsabu,bostonu.dsa@gmail.com
Egyptian Club,egyptian-club,yasmeene@bu.edu
Elementary Education,elementary-education,lmedclub@bu.edu
Emergency Medical Service Club,emsclub,buemsclub@gmail.com
Engineers Without Borders,engineers-without-borders,president.ewbbu@gmail.com 
Entrepreneur's Club,entrepreneurs-club,eclub@bu.edu
Environmental Student Organization,environmental-student-organization,eso@bu.edu
Epsilon Eta,epsilon-eta,epsiloneta.bu@gmail.com
Eritrean and Ethiopian Students Association,eritrean-and-ethiopian-students-association,eesa@bu.edu
F1Tenth Autonomous Racing Organization at Boston University,f1tenthautonomousracingorg,f1tenthbu@gmail.com
FeelGood World,feelgood-world,feelgood@bu.edu
Filipino Student Association,filipino-student-association,bufsa@bu.edu
FilmBiz: Boston University’s Entertainment Business Club,filmbiz,bufilmbiz@gmail.com
Finance and Investment Club,finance-and-investment-club,buinvest@bu.edu
Financial Modeling Club,financial-modeling-club,buexcel@bu.edu
Financial Technology Group,financial-technology-group,fintechc@bu.edu
First Generation and/or Low Income Partnership,flipbostonu,flip@bu.edu
Flag Football Club,na,rhomer@bu.edu 
FORGE Design Studios,forgedesignstudios,budesign@bu.edu
French Club,french-club,afbu@bu.edu
Gaming Club,gaming-club,bugamingclub@gmail.com
Generational Black American Student Organization,soulaan,soulaan@bu.edu
Geological Society,bugs,bugeologicalsociety@gmail.com
German Culture Club,german-culture-club,germancc@bu.edu
Ghanaian Student Organization,gso,bugso@bu.edu
Girl Gains Boston University,girlgainsbu,ggains@bu.edu
Girls Inc,swsg,bu@swsg.org
Girls Who Code,bugwcchapter,gwcbu@bu.edu
Gliding &amp; Soaring at Boston University,bugliding,terriergliding@gmail.com
Global China Connection,global-china-connection,bugcc@bu.edu
Global Engineering Brigade,global-engineering-brigade,bugengb@gmail.com
Global Medical Brigades,global-medical-brigades,gmb.bostonu@gmail.com
Global Tea Club at Boston University,global-tea-club,buglobalteaclub@gmail.com
Graduate Chinese Students and Scholars Association - 47600,bucssa,isgrace@bu.edu
Graphic Medicine Club,graphicmedicine,gmed@bu.edu
GroupIRean: Korean Diplomatic and Political Association,groupirean,
Guerrilla Marketing Society,guerrilla-marketing-society,bugms@bu.edu
Hack4Impact,hack4impact,bostonuniversity@hack4impact.org
HackHardware,hackhardwarebu,hackh@bu.edu
Half-Asian People's Association,hapa,hapa@bu.edu
Hawaii Cultural Association,hawaii-cultural-association,pauhana@bu.edu
Healing Hearts for Hope,3hclub,hhhclub@bu.edu
Healthcare Improvement Inc,healthcareimprovementinc,hci@bu.edu
Hearts for the Homeless Boston,hearts-4-the-homeless-boston-university,hearts@bu.edu
Hellenic Association,hellenic-association,hellenic@bu.edu
Helping Hands for the Homeless,helping-hands-for-the-homeless,buhelphand@gmail.com
Her Campus Boston University,hercampusbu,hc.bu@hercampus.com
Her Financial Future,herfinancialfuture,HFFuture@bu.edu
herNetwork - Boston University Women in Business,hernetwork-boston-university-women-in-business,herntwrk@bu.edu
High Performance Computing Club,high-performance-computing-club,buhpc@bu.edu
Himalayan Student Association,bu-hsa,hsa@bu.edu
Hindu Cultural Association,buhca,buhsc@bu.edu
Hong Kong Student Association,hong-kong-student-association,1buhksa@gmail.com
Hospitality Association at BU,hospitality-association,buha0928@gmail.com
IEEE Student Chapter/IEEE-HKN,ieee-student-chapter-ieee-hkn,ieee@bu.edu
India Club,india-club,buindiaclub@gmail.com
Indonesian Student Association,indonesian-student-association,isabu@bu.edu
"Interface of Science, Technology, Engineering, and Policy",instepatbu,
International Affairs Association,international-affairs-association,buiaa.exec@gmail.com
It's On Us,itsonus,itsonus@bu.edu
Italian Students Association,italian-students-association,italians@bu.edu
Japanese Student Association,japanese-student-association,bujsa@bu.edu
Jewish on Campus at Boston University,jewishoncampus,bostonuniversity@jewishoncampus.org
Journal of History at Boston University,bujh,bujh@bu.edu
Journalists of Color,bujoc,bujournalistsofcolor@gmail.com
"Kappa Alpha Psi Fraternity, Inc",kappaalphapsi,Chi.kapsi@gmail.com
Kappa Theta Pi,ktpbostonu,ktpbostonu@gmail.com
Khmer Student Association at Boston University,khmer-student-association,
Kidney Disease Screening and Awareness Program,kidney-disease-screening-and-awareness-program,kdsapbu@gmail.com
Knitting Club,knitting-club,knitting@bu.edu
Korean Graduate Student Association,kgsa,bu.kgsa@gmail.com
Korean Student Association,korean-student-association,buksa@bu.edu
La Casa Peruana,lacasaperuana,casaperu@bu.edu
Latin American Business Association,workinprogress,dancastr@bu.edu
Latin American Student Association at Boston University,bulatam,isacw@bu.edu
LatinasBU,latinasbu,latinasbu@gmail.com
Lebanese Club,lebanese-club,lebaneseclub@bu.edu
Let's Talk About It,letstalkaboutit,letstalk@bu.edu
Linguistics Association,linguistics-association,maiyawhy@bu.edu
Mahjong Club,mahjong-club,bumahjong@gmail.com
Malaysian Cultural Association,malaysian-cultural-association,myca.bostonuniversity@gmail.com
Marine Science Association,marine-science-association,fosterd@bu.edu
Marketing Club,bumkc,masante@bu.edu
Mars Rover Club,bumrc,bumrc@bu.edu
Mathematics Association at BU,mabu,bumaa@bu.edu
Medical Ethics Society,medical-ethics-society,bumedes@bu.edu
Mexican Students Association,mexican-students-association,mexasbostonu@gmail.com
MicroFinance Initiative,microfinance,bumfi@bu.edu
Migration Tales,migrationtales,themigrationtales@gmail.com
Mind and Brain Society,mind-and-brain-society,ombs@bu.edu
Minority Association of Pre-Medical/Health Students,minority-association-of-pre-med-health-students,mapsbu@gmail.com
Mixed Student Union,mixedstudentunion,bumsu@bu.edu
Mock Mediation Organization,mock-mediation-organization,mockmed@bu.edu
Mock Trial Organization,mto,mto@bu.edu
Moot Court Organization,bumco,bumco@bu.edu
Mu Epsilon Delta,muepsilondelta,bostonumed@gmail.com
National Society of Black Engineers,national-society-of-black-engineers,bu.nsbe.president@gmail.com
National Student Speech Language Hearing Association,nationalstudentspeechlanguagehearingassociation,bostonunsslha@gmail.com
Naturally,bu-naturally,natural@bu.edu
Nigerian Students Association,bu-nigerian-students-association,adedoyin@bu.edu
NMDP,nmdp,btmocbu@bu.edu
North African Student Organization,nasoatbostonu,bunaso22@gmail.com
Nutrition and Dietetics Club,nutrition-and-dietetics-club,bunutritionclub@gmail.com
Off The Hook,offthehook,eierhun@bu.edu
Omega Phi Alpha,omega-phi-alpha,alpha.mu.president@omegaphialpha.org
On Beat,bob,dejaford@bu.edu
One Love Foundation,onelovebu,fundraising@joinonelove.org
Ophthalmology/Optometry Society,buos,BUOS@bu.edu
Oral Health Advocacy-BU,oha-bu,ohabu@bu.edu
Organization of Pakistani Students,organization-of-pakistani-students,pakistan@bu.edu
Outing Club,outing-club,buoutingclub@gmail.com
Palestine Student Association at BU,bupsa,lsarhan@bu.edu
PERIOD.,period,period@bu.edu
Persian Students Association,iranian-students-association,skhatami@bu.edu
Phi Alpha Delta,pad,bupad@bu.edu
Phi Chi Theta Business Fraternity,phi-chi-theta-business-fraternity,pct.bostonu@gmail.com
Phi Gamma Nu,pgnleaders,expansionvp@pgnleaders.org
"Philosophy, Politics & Economics Society",philosophy-politics-economics-society,nfowles@bu.edu
Pioneer Impact Consulting,pic,pic@bu.edu
PMReady,pmready,pmready@bu.edu
Pre Dental Society,pre-dental-society,predent@bu.edu
Pre-Health Professionals Club,phpc,phpcbu@gmail.com
Pre-Law Review,pre-law-review,plr@bu.edu
Pre-Law Society,pre-law-society,pls@bu.edu
Pre-Medical Society,premedical-society,bupremed@gmail.com
Pre-Physician Assistant Club,pre-physician-assistant-club,prepac@bu.edu
Pre-Veterinary and Animal Lovers Society,pre-veterinary-and-animal-lovers-society,bupals@bu.edu
Prevent at BU,buprevent,hvora@bu.edu
Pride in Business,pride-in-business,prideinbusinessbu@gmail.com
Project Sunshine,project-sunshine,llaurenn@bu.edu
Public Relations Student Society of America,public-relations-student-society-of-america,gracecu@bu.edu
Puerto Rican Student Association,puerto-rican-student-association,prsa@bu.edu
Queer Activist Collective,queeractivistcollective,queer@bu.edu
Quiz Bowl Club,bu-quiz-bowl,quizbowl@bu.edu
Real Estate Club,burec,bureclub@bu.edu
Recreational Tennis Club,burectennisclub,recten@bu.edu
Red Cross Volunteers,red-cross-volunteers,
"Retail, Luxury & Consumer Association",rlcassociation,retailluxuryconsumer@gmail.com
Rhythm n Beat,rhythmnbeat,rnbstep@bu.edu
Rocket Propulsion Group,rocket-propulsion-group,burpg@bu.edu
Rotaract,rotaract,rotaract@bu.edu
Running Club,running-club,burunningclub@gmail.com
Russian Speaking Society,russian-speaking-society,russian@bu.edu
Sahelian Student Association,54-3-47-570-3-550-470,sahelassocbu@gmail.com
Saudi Cultural Club,saudi-cultural-club,Busaudis@bu.edu
SciBU: Journal of Undergraduate Science and Research,scibu,scibu@bu.edu
SHADES,shades,shades@bu.edu
Singapore Students Association,singapore-students-association,bussa@bu.edu
Sisters United,sisters-united,sistersu@bu.edu
Ski & Snowboard Club,buskiandboard,skiclub@bu.edu
Skincare Club,buskincareclub,skincare@bu.edu
Smash Bros Society,smash-bros-society,kweiss@bu.edu
Society For Biomaterials,busfb,bostonuniversitysfb@gmail.com
Society of Asian Scientists and Engineers,society-of-asian-scientists-and-engineers,busase@bu.edu
Society of Hispanic Professional Engineers,society-of-hispanic-professional-engineers,shpe@bu.edu
Society of Physics Students,photon,
Society of Professional Journalists,society-of-professional-journalists,buspj@bu.edu
Society of Sci-Fi & Horror,sosh,buscifiandhorror@gmail.com
Society of Women Engineers,society-of-women-engineers,swe@bu.edu
Society of Women in Space Exploration,swise,swiseatbu@gmail.com
South Asian Student Association,busasa,busasa@bu.edu
Sports Analytics Group at BU,sagbu,busportsanalytics@gmail.com
Sports Business Club,busbc,busbc@bu.edu
Stock Trading at Boston University,stocktradingatbu,stabu@bu.edu
Students for Israel at BU,bu-students-for-israel,edukorn@bu.edu
Students Learning about Israel-Palestine,students-learning-israel-palestine,buslip22@gmail.com
Students of Caribbean Ancestry,students-of-caribbean-ancestry,busoca@bu.edu
Students of East African Ancestry,seaa,seaabostonu@gmail.com
Study of Religions Club,sor,sor@bu.edu
Survivor: Boston University,survivorbu,survivorbostonuni@gmail.com
Sustainable Business Club,sustainablebusinessclub,busustainbusiness@gmail.com
Sustainable Ocean Alliance,sustainable-ocean-alliance,soa18@bu.edu
Taiwanese American Student Association,taiwanese-american-student-association,butasainfo@gmail.com
Taiwanese Overseas Students Association,taiwanese-overseas-students-association,tosa@bu.edu
TAMID Group,tamid-group,bu@tamidgroup.org
Tech Talks,butechtalks,
Terrier Motorsport,terriermotorsport,butm@bu.edu
Terrier Ride Engineering Club,trec_bu,trec@bu.edu
Test Club,testclub,sao@bu.edu
Thai Student Association,thai-student-association,buthaisa@gmail.com
The Alexander Hamilton Society,alexander-hamilton-society,bostonuniversityahs@gmail.com
The Boston Chapter of The Urban Garden Initiative,tugi-boston,tugiboston@gmail.com
The Central Asian Student Association,casa-bu,
The DREAM Program,dream-program,budreamrecruit@gmail.com
The Film Production Club of Boston University,thebostonuniversityshortfilmclub,redlist@bu.edu
The Politica at Boston University,the-politica,pbu@bu.edu
The Women's Network: BU,thewomensnetwork,thewomensnetwork.bu@gmail.com
The Word and Way Society,the-word-and-way-society,thewordandwaysociety@gmail.com
Theta Tau,thetataubu,thetatau@bu.edu
Trading Card Games Club,butcg,bostonuniversitytcgclub@gmail.com
Trans Listening Circle,trans-listening-circle,translisteningcircle@gmail.com
Turkish Student Association,turkish-student-association,
Umoja,umoja,umoja@bu.edu
Undergraduate Architecture Association,buarchitecture,uaa@bu.edu
Undergraduate Classics Association,undergraduate-classics-association,uca@bu.edu
Undergraduate Economics Association,uea,uea@bu.edu
Undergraduate Engineering Society,buues,jnrich@bu.edu
Undergraduate English Literature Association,uela,englisha@bu.edu
Undergraduate History Association,undergraduate-history-association,uha@bu.edu
Undergraduate Philosophy Association,undergraduate-philosophy-association,jsperl@bu.edu
Undergraduate Psychology Association,undergraduate-psychology-association,ugradpsy@bu.edu
Undergraduate Public Health Association,undergraduate-public-health-association,upha@bu.edu
Undergraduate Sociology Association,none,mjshaw@bu.edu
Undergraduate Women in Economics,buuwe,uwe@bu.edu
Undergraduate Women in Science and Engineering,uwise,uwise@bu.edu
Undergraduate World Languages & Literatures Association,undergraduate-wll-association,buwa@bu.edu
UNICEF Campus Initiative,unicef-campus-initiative,unicef@bu.edu
"University Blood Initiative, BU Chapter",bostonuniversityubi,bsolot@bu.edu
Unmanned Aerial Vehicles Team,unmanned-aerial-vehicles-team,uav@bu.edu
Urban Birding Club,burbanbirding,birding@bu.edu
Urbanism Club at BU,urbanistsbu,burbanists@gmail.com
Venture Group BU,buvcg,buvcgroup@gmail.com
Veteran Assist,veteranassist,buveteranassist@gmail.com
Vietnamese Student Association,vietnamese-student-association,buvsa@bu.edu
Visual Journalists Association,buvja,buvja@bu.edu
Volunteers for Inclusion and Accessibility,volunteers-inclusion-accessibility,svsn@bu.edu
Women in Computer Science,women-in-computer-science,wics@bu.edu
Women in Data Science,bu_wids,bostonuwids@gmail.com
Women In Law,wil,wilbu@bu.edu
Women in Neuroscience,winbostonuwixsitecom,buwin@bu.edu
